SSL(t-1),SSL(t),q(t-1),q(t)
19.1,6.8,7.5,5.3
6.8,4.9,5.3,4.6
4.9,4.5,4.6,4.4
4.5,5.5,4.4,4.7
5.5,3.7,4.7,3.9
3.7,3.2,3.9,3.5
3.2,4.8,3.5,4.4
4.8,4,4.4,3.9
4,3.2,3.9,3.4
3.2,2.9,3.4,3.2
2.9,2.4,3.2,2.8
2.4,2.2,2.8,2.6
2.2,2,2.6,2.6
2,2,2.6,2.5
2,2.1,2.5,2.6
2.1,2.1,2.6,2.6
2.1,2,2.6,2.5
2,2,2.5,2.5
2,2.3,2.5,2.6
2.3,2.2,2.6,2.5
2.2,2.6,2.5,2.8
2.6,2.9,2.8,2.9
2.9,2.1,2.9,2.4
2.1,1.9,2.4,2.3
1.9,2.7,2.3,2.7
2.7,2.1,2.7,2.3
2.1,2.9,2.3,2.8
2.9,2.5,2.8,2.5
2.5,2.2,2.5,2.3
2.2,2,2.3,2.2
2,2.1,2.2,2.3
2.1,2,2.3,2.1
2,1.8,2.1,2
1.8,1.7,2,1.9
1.7,9.5,1.9,4.3
9.5,7.2,4.3,3.5
7.2,28.4,3.5,5.5
28.4,5,5.5,3.2
5,3.5,3.2,2.8
3.5,3.4,2.8,2.7
3.4,2.8,2.7,2.5
2.8,2.4,2.5,2.3
2.4,3.1,2.3,2.7
3.1,33.3,2.7,7.1
33.3,11.2,7.1,5.1
11.2,5.2,5.1,3.7
5.2,5.8,3.7,4
5.8,222.5,4,20
222.5,79.4,20,23.6
79.4,48.5,23.6,15.4
48.5,88.4,15.4,29.1
88.4,31.9,29.1,16.6
31.9,15.8,16.6,9.3
15.8,10.4,9.3,7
10.4,8.3,7,5.9
8.3,7.6,5.9,5.6
7.6,157,5.6,7.3
157,84.3,7.3,10.5
84.3,47.7,10.5,12.7
47.7,12.1,12.7,6.8
12.1,8,6.8,5.2
8,7.4,5.2,5.1
7.4,5.9,5.1,4.4
5.9,5.1,4.4,4
5.1,4.5,4,3.6
4.5,4.1,3.6,3.3
4.1,3.7,3.3,3.1
3.7,3.7,3.1,3.1
3.7,11.5,3.1,5.1
11.5,4.7,5.1,3.4
4.7,3.5,3.4,3
3.5,3.5,3,2.8
3.5,4.1,2.8,3
4.1,3.3,3,2.9
3.3,2.9,2.9,2.7
2.9,2.5,2.7,2.6
2.5,2.3,2.6,2.6
2.3,2.1,2.6,2.6
2.1,1.7,2.6,2.4
1.7,1.4,2.4,2.2
1.4,1.4,2.2,2.1
1.4,1.4,2.1,2.2
1.4,1.4,2.2,2.1
1.4,1.4,2.1,2
1.4,1.2,2,1.9
1.2,1.2,1.9,1.8
1.2,1,1.8,1.8
1,1,1.8,1.7
1,1,1.7,1.8
1,1,1.8,1.7
1,0.9,1.7,1.7
0.9,0.9,1.7,1.6
0.9,0.8,1.6,1.6
0.8,0.8,1.6,1.6
0.8,0.8,1.6,1.5
0.8,1.1,1.5,1.5
1.1,0.8,1.5,1.5
0.8,0.9,1.5,1.5
0.9,0.7,1.5,1.4
0.7,0.8,1.4,1.4
0.8,0.7,1.4,1.3
0.7,0.9,1.3,1.3
0.9,0.9,1.3,1.5
0.9,0.7,1.5,1.4
0.7,0.7,1.4,1.4
0.7,0.6,1.4,1.2
0.6,3,1.2,2.3
3,2.5,2.3,2.4
2.5,1.2,2.4,1.7
1.2,0.8,1.7,1.4
0.8,0.8,1.4,1.3
0.8,0.9,1.3,1.2
0.9,0.7,1.2,1.2
0.7,0.7,1.2,1.2
0.7,2.5,1.2,1.5
2.5,11.5,1.5,2.8
11.5,1.8,2.8,1.5
1.8,2.3,1.5,1.8
2.3,1.9,1.8,1.8
1.9,1.3,1.8,1.3
1.3,1.1,1.3,1.3
1.1,1.2,1.3,1.2
1.2,1.1,1.2,1.1
1.1,1,1.1,1.1
1,0.9,1.1,1.1
0.9,0.8,1.1,1
0.8,0.7,1,1
0.7,2.2,1,1.6
2.2,2.9,1.6,1.8
2.9,1.1,1.8,1.3
1.1,0.9,1.3,1.2
0.9,0.8,1.2,1.1
0.8,0.8,1.1,1.1
0.8,1,1.1,1.3
1,3.1,1.3,2.5
3.1,1.6,2.5,1.7
1.6,0.9,1.7,1.4
0.9,0.9,1.4,1.3
0.9,0.9,1.3,1.1
0.9,0.9,1.1,1.1
0.9,0.6,1.1,1
0.6,0.5,1,1
0.5,0.5,1,1
0.5,0.5,1,1
0.5,0.4,1,0.9
0.4,0.4,0.9,1
0.4,0.3,1,0.9
0.3,0.4,0.9,0.9
0.4,6.4,0.9,2.7
6.4,1.4,2.7,1.5
1.4,0.9,1.5,1.4
0.9,3.1,1.4,2.6
3.1,1.9,2.6,2
1.9,1.1,2,1.6
1.1,1.9,1.6,2
1.9,2.7,2,2.3
2.7,7.4,2.3,3.6
7.4,5.4,3.6,4.3
5.4,7.2,4.3,5.8
7.2,1.3,5.8,2.6
1.3,1.5,2.6,2.9
1.5,0.9,2.9,2.3
0.9,0.6,2.3,1.9
0.6,0.5,1.9,1.7
0.5,0.5,1.7,1.7
0.5,0.4,1.7,1.6
0.4,0.4,1.6,1.6
0.4,0.4,1.6,1.6
0.4,0.4,1.6,1.5
0.4,0.4,1.5,1.5
0.4,0.4,1.5,1.5
0.4,0.4,1.5,1.5
0.4,0.4,1.5,1.6
0.4,0.4,1.6,1.5
0.4,0.4,1.5,1.5
0.4,0.5,1.5,1.7
0.5,0.4,1.7,1.5
0.4,0.3,1.5,1.5
0.3,0.3,1.5,1.5
0.3,0.6,1.5,1.8
0.6,1.3,1.8,2.7
1.3,1.6,2.7,2.9
1.6,0.7,2.9,2
0.7,0.6,2,1.8
0.6,0.7,1.8,2
0.7,1.4,2,2.8
1.4,0.9,2.8,2.2
0.9,0.8,2.2,2.1
0.8,0.7,2.1,2
0.7,0.6,2,1.8
0.6,0.7,1.8,2
0.7,0.6,2,1.8
0.6,0.5,1.8,1.7
0.5,0.5,1.7,1.7
0.5,0.5,1.7,1.7
0.5,0.5,1.7,1.7
0.5,0.5,1.7,1.6
0.5,0.5,1.6,1.7
0.5,0.4,1.7,1.6
0.4,0.4,1.6,1.6
0.4,0.4,1.6,1.6
0.4,0.4,1.6,1.6
0.4,0.7,1.6,1.9
0.7,2.1,1.9,3.2
2.1,4.3,3.2,4.5
4.3,7,4.5,5.8
7,3.3,5.8,4.1
3.3,6.3,4.1,5.6
6.3,2.9,5.6,3.9
2.9,4.8,3.9,4.9
4.8,5.1,4.9,5
5.1,7.3,5,6
7.3,2.5,6,3.6
2.5,1.8,3.6,3.1
1.8,1.5,3.1,2.8
1.5,1.3,2.8,2.6
1.3,1.1,2.6,2.4
1.1,1,2.4,2.3
1,1,2.3,2.3
1,0.9,2.3,2.2
0.9,1.8,2.2,3
1.8,1.9,3,3.2
1.9,1.3,3.2,2.6
1.3,1.1,2.6,2.4
1.1,1,2.4,2.3
1,0.9,2.3,2.2
0.9,0.8,2.2,2.1
0.8,0.8,2.1,2
0.8,0.7,2,2
0.7,0.7,2,2
0.7,0.9,2,2.2
0.9,0.9,2.2,2.2
0.9,0.9,2.2,2.2
0.9,0.9,2.2,2.1
0.9,0.8,2.1,2
0.8,0.7,2,2
0.7,0.9,2,2.2
0.9,0.8,2.2,2.1
0.8,0.9,2.1,2.2
0.9,4.8,2.2,4.5
4.8,6.7,4.5,5.7
6.7,3,5.7,3.9
3,1.9,3.9,3.1
1.9,1.5,3.1,2.8
1.5,1.2,2.8,2.5
1.2,1.1,2.5,2.4
1.1,1,2.4,2.3
1,0.9,2.3,2.2
0.9,0.9,2.2,2.2
0.9,0.9,2.2,2.1
0.9,0.8,2.1,2.1
0.8,0.8,2.1,2.1
0.8,0.8,2.1,2.1
0.8,1.3,2.1,2.6
1.3,1.4,2.6,2.7
1.4,1.1,2.7,2.4
1.1,0.9,2.4,2.2
0.9,0.9,2.2,2.1
0.9,0.8,2.1,2.1
0.8,0.8,2.1,2.1
0.8,0.9,2.1,2.2
0.9,0.8,2.2,2
0.8,0.8,2,2
0.8,0.7,2,1.9
0.7,0.7,1.9,1.9
0.7,0.7,1.9,1.9
0.7,0.8,1.9,2
0.8,0.7,2,1.9
0.7,0.7,1.9,1.9
0.7,0.7,1.9,1.9
0.7,0.7,1.9,1.9
0.7,1.3,1.9,2.5
1.3,1,2.5,2.3
1,0.9,2.3,2.1
0.9,0.8,2.1,2
0.8,0.8,2,2.1
0.8,1.1,2.1,2.4
1.1,1.1,2.4,2.3
1.1,1.2,2.3,2.4
1.2,1.2,2.4,2.5
1.2,1.1,2.5,2.3
1.1,0.9,2.3,2.2
0.9,0.9,2.2,2.1
0.9,0.8,2.1,2
0.8,0.8,2,2
0.8,0.8,2,2
0.8,0.8,2,2
0.8,0.7,2,1.9
0.7,0.8,1.9,2
0.8,0.8,2,1.9
0.8,0.7,1.9,1.9
0.7,0.7,1.9,1.8
0.7,0.7,1.8,1.8
0.7,0.7,1.8,1.8
0.7,0.7,1.8,1.8
0.7,0.7,1.8,1.9
0.7,0.7,1.9,1.8
0.7,0.6,1.8,1.8
0.6,0.7,1.8,1.8
0.7,0.8,1.8,1.9
0.8,1.3,1.9,2.5
1.3,1.4,2.5,2.6
1.4,1.3,2.6,2.5
1.3,1,2.5,2.2
1,0.9,2.2,2.1
0.9,0.8,2.1,2
0.8,1.3,2,2.5
1.3,1.1,2.5,2.3
1.1,1.3,2.3,2.5
1.3,1.2,2.5,2.4
1.2,0.9,2.4,2.1
0.9,0.9,2.1,2.1
0.9,0.8,2.1,2
0.8,0.8,2,2
0.8,0.9,2,2.1
0.9,0.8,2.1,1.9
0.8,0.7,1.9,1.9
0.7,0.7,1.9,1.9
0.7,0.7,1.9,1.9
0.7,0.7,1.9,1.9
0.7,0.8,1.9,1.9
0.8,0.8,1.9,1.9
0.8,0.7,1.9,1.8
0.7,0.7,1.8,1.8
0.7,0.7,1.8,1.8
0.7,0.6,1.8,1.8
0.6,0.6,1.8,1.7
0.6,0.6,1.7,1.6
0.6,0.6,1.6,1.6
0.6,0.5,1.6,1.6
0.5,0.5,1.6,1.6
0.5,0.5,1.6,1.6
0.5,0.5,1.6,1.5
0.5,0.5,1.5,1.5
0.5,0.4,1.5,1.4
0.4,0.5,1.4,1.5
0.5,0.5,1.5,1.5
0.5,0.5,1.5,1.6
0.5,0.5,1.6,1.6
0.5,0.8,1.6,2
0.8,0.7,2,1.8
0.7,0.5,1.8,1.6
0.5,0.5,1.6,1.6
0.5,0.9,1.6,2.1
0.9,1,2.1,2.2
1,0.8,2.2,1.9
0.8,0.6,1.9,1.7
0.6,0.6,1.7,1.7
0.6,0.5,1.7,1.6
0.5,0.5,1.6,1.5
0.5,0.5,1.5,1.5
0.5,0.5,1.5,1.4
0.5,0.4,1.4,1.4
0.4,0.5,1.4,1.3
0.5,0.6,1.3,1.3
0.6,0.7,1.3,1.3
0.7,0.7,1.3,1.3
0.7,0.7,1.3,1.3
0.7,0.6,1.3,1.2
0.6,0.6,1.2,1.2
0.6,0.6,1.2,1.2
0.6,0.7,1.2,1.2
0.7,0.6,1.2,1.3
0.6,0.6,1.3,1.3
0.6,0.6,1.3,1.3
0.6,0.7,1.3,1.4
0.7,0.9,1.4,1.6
0.9,0.8,1.6,1.4
0.8,0.6,1.4,1.3
0.6,0.8,1.3,1.6
0.8,0.8,1.6,1.5
0.8,0.6,1.5,1.3
0.6,0.6,1.3,1.3
0.6,0.6,1.3,1.3
0.6,0.6,1.3,1.2
0.6,0.6,1.2,1.2
0.6,0.6,1.2,1.2
0.6,0.7,1.2,1.3
0.7,2.1,1.3,1.5
2.1,1.3,1.5,1.4
1.3,6,1.4,2.2
6,2.4,2.2,1.5
2.4,1.4,1.5,1.4
1.4,1.4,1.4,1.5
1.4,1.5,1.5,1.3
1.5,0.8,1.3,1.2
0.8,0.6,1.2,1.2
0.6,0.6,1.2,1.1
0.6,0.7,1.1,1.2
0.7,0.8,1.2,1.2
0.8,1.5,1.2,1.7
1.5,1.7,1.7,1.7
1.7,3.6,1.7,2.4
3.6,2.4,2.4,1.8
2.4,1.3,1.8,1.5
1.3,1.1,1.5,1.4
1.1,0.9,1.4,1.3
0.9,0.8,1.3,1.2
0.8,0.8,1.2,1.2
0.8,1,1.2,1.4
1,1.2,1.4,1.4
1.2,0.8,1.4,1.2
0.8,0.8,1.2,1.1
0.8,0.7,1.1,1.1
0.7,0.7,1.1,1
0.7,105,1,3.5
105,74,3.5,2.5
74,4.7,2.5,1.4
4.7,3.4,1.4,1.6
3.4,9.6,1.6,2.9
9.6,18.8,2.9,4.4
18.8,9.4,4.4,2.9
9.4,5.5,2.9,2
5.5,4.8,2,1.6
4.8,6.7,1.6,1.4
6.7,5.7,1.4,1.3
5.7,4.6,1.3,1.2
4.6,2.4,1.2,1.1
2.4,2.9,1.1,1.1
2.9,4.6,1.1,1
4.6,3.9,1,1
3.9,2.6,1,0.9
2.6,2.7,0.9,0.9
2.7,1.1,0.9,0.9
1.1,1.3,0.9,1
1.3,1.1,1,0.8
1.1,1.1,0.8,0.8
1.1,1,0.8,0.8
1,0.9,0.8,0.8
0.9,0.9,0.8,0.8
0.9,0.9,0.8,0.7
0.9,0.8,0.7,0.7
0.8,1,0.7,0.7
1,0.9,0.7,0.7
0.9,0.8,0.7,0.7
0.8,0.8,0.7,0.7
0.8,0.8,0.7,0.7
0.8,0.8,0.7,0.7
0.8,0.9,0.7,0.7
0.9,0.7,0.7,0.7
0.7,0.7,0.7,0.6
0.7,1.4,0.6,1
1.4,1.6,1,1.1
1.6,1,1.1,0.8
1,0.8,0.8,0.7
0.8,0.7,0.7,0.7
0.7,0.6,0.7,0.6
0.6,0.9,0.6,0.7
0.9,1.3,0.7,0.7
1.3,0.9,0.7,0.7
0.9,4.9,0.7,1.8
4.9,45.8,1.8,5.9
45.8,6,5.9,2.5
6,2.6,2.5,1.8
2.6,1.6,1.8,1.3
1.6,3.3,1.3,1.7
3.3,4.5,1.7,2.1
4.5,2.2,2.1,1.5
2.2,1.1,1.5,1
1.1,1,1,0.9
1,1.1,0.9,0.9
1.1,0.8,0.9,0.8
0.8,0.7,0.8,0.7
0.7,1.1,0.7,0.9
1.1,1.5,0.9,1.2
1.5,1.2,1.2,1
1.2,1.3,1,1.1
1.3,0.8,1.1,0.8
0.8,0.7,0.8,0.7
0.7,2.9,0.7,1.2
2.9,5,1.2,1.3
5,126.6,1.3,5
126.6,19.8,5,2.9
19.8,5,2.9,1.9
5,3.1,1.9,1.4
3.1,3,1.4,1.1
3,3.8,1.1,1.8
3.8,160.9,1.8,5
160.9,322.5,5,7.7
322.5,4.7,7.7,2.6
4.7,2.7,2.6,1.8
2.7,1.8,1.8,1.4
1.8,1.4,1.4,1.3
1.4,1.2,1.3,1.2
1.2,1.7,1.2,1.4
1.7,1.2,1.4,1.1
1.2,1.1,1.1,1.1
1.1,1.2,1.1,1.2
1.2,1.7,1.2,1.5
1.7,2.9,1.5,2
2.9,1.7,2,1.5
1.7,1.1,1.5,1.2
1.1,0.9,1.2,1.1
0.9,0.8,1.1,1
0.8,0.8,1,1
0.8,0.7,1,1
0.7,0.7,1,0.9
0.7,1.1,0.9,1.2
1.1,0.9,1.2,1.1
0.9,1.3,1.1,1.4
1.3,6.9,1.4,2.9
6.9,2.4,2.9,1.7
2.4,1.2,1.7,1.2
1.2,0.9,1.2,1.1
0.9,1.4,1.1,1.5
1.4,2.6,1.5,2
2.6,1.3,2,1.4
1.3,1,1.4,1.3
1,0.9,1.3,1.2
0.9,0.8,1.2,1.1
0.8,0.8,1.1,1.1
0.8,0.9,1.1,1.1
0.9,1.1,1.1,1.2
1.1,0.9,1.2,1.1
0.9,0.8,1.1,1
0.8,0.6,1,1
0.6,23.8,1,4.4
23.8,34.7,4.4,6.4
34.7,4.6,6.4,2.9
4.6,2.2,2.9,2.2
2.2,1.5,2.2,1.8
1.5,1.2,1.8,1.5
1.2,1,1.5,1.4
1,0.9,1.4,1.3
0.9,177,1.3,3.2
177,27.4,3.2,2.3
27.4,10.9,2.3,3
10.9,7.8,3,3
7.8,2.8,3,2
2.8,2.1,2,1.8
2.1,1.9,1.8,1.6
1.9,1.8,1.6,1.5
1.8,1.5,1.5,1.4
1.5,1.3,1.4,1.3
1.3,1.3,1.3,1.3
1.3,1.3,1.3,1.3
1.3,1.3,1.3,1.4
1.3,1.4,1.4,1.4
1.4,1.2,1.4,1.3
1.2,1.2,1.3,1.4
1.2,1.1,1.4,1.3
1.1,0.8,1.3,1.1
0.8,1.1,1.1,1.3
1.1,0.8,1.3,1.2
0.8,0.7,1.2,1.1
0.7,1,1.1,1.2
1,0.8,1.2,1.1
0.8,0.7,1.1,1.1
0.7,4.3,1.1,2.2
4.3,48.7,2.2,3.5
48.7,13.7,3.5,3.6
13.7,44.1,3.6,4.8
44.1,7.1,4.8,3.6
7.1,2.3,3.6,2.3
2.3,1.6,2.3,2
1.6,1.3,2,1.8
1.3,48.8,1.8,5
48.8,248.3,5,10.7
248.3,10.4,10.7,5.1
10.4,4,5.1,3.6
4,2.6,3.6,2.9
2.6,2,2.9,2.6
2,1.6,2.6,2.4
1.6,1.3,2.4,2.3
1.3,1.2,2.3,2.1
1.2,1,2.1,1.9
1,1.1,1.9,2
1.1,1,2,1.8
1,1,1.8,1.7
1,1.2,1.7,1.8
1.2,1.2,1.8,1.7
1.2,1.7,1.7,2.1
1.7,1.6,2.1,1.9
1.6,1.5,1.9,1.7
1.5,1.4,1.7,1.6
1.4,1.4,1.6,1.6
1.4,1.5,1.6,1.6
1.5,1.7,1.6,1.5
1.7,1.7,1.5,1.5
1.7,1.7,1.5,1.4
1.7,1.8,1.4,1.4
1.8,1.7,1.4,1.4
1.7,1.7,1.4,1.4
1.7,2.4,1.4,1.7
2.4,4.2,1.7,2.7
4.2,2.7,2.7,2.1
2.7,2.1,2.1,1.8
2.1,1.8,1.8,1.6
1.8,1.6,1.6,1.5
1.6,1.5,1.5,1.5
1.5,1.4,1.5,1.5
1.4,1.3,1.5,1.4
1.3,1.2,1.4,1.4
1.2,1.1,1.4,1.4
1.1,1,1.4,1.3
1,0.9,1.3,1.3
0.9,0.8,1.3,1.4
0.8,0.8,1.4,1.6
0.8,0.7,1.6,1.5
0.7,0.8,1.5,1.6
0.8,0.9,1.6,1.7
0.9,0.8,1.7,1.6
0.8,0.7,1.6,1.5
0.7,0.6,1.5,1.5
0.6,0.6,1.5,1.4
0.6,0.6,1.4,1.3
0.6,6.1,1.3,2.2
6.1,51.7,2.2,6.5
51.7,7.5,6.5,3.8
7.5,3.9,3.8,3.3
3.9,4.8,3.3,3.6
4.8,2.7,3.6,2.8
2.7,2.1,2.8,2.7
2.1,4,2.7,3.5
4,12.5,3.5,5.4
12.5,46.1,5.4,7.3
46.1,8.1,7.3,5.1
8.1,3.9,5.1,3.9
3.9,2.9,3.9,3.4
2.9,2.2,3.4,3
2.2,6.1,3,4.4
6.1,3.8,4.4,3.7
3.8,2.2,3.7,3
2.2,1.9,3,2.6
1.9,1.5,2.6,2.3
1.5,1.4,2.3,2.3
1.4,1.4,2.3,2.2
1.4,1.4,2.2,2.3
1.4,1.5,2.3,2.4
1.5,1.6,2.4,2.5
1.6,1.5,2.5,2.5
1.5,1.3,2.5,2.4
1.3,1.3,2.4,2.3
1.3,1.2,2.3,2.2
1.2,3.8,2.2,2.7
3.8,255.2,2.7,14.1
255.2,181.4,14.1,20.2
181.4,49.8,20.2,14.2
49.8,10.6,14.2,6.9
10.6,6.2,6.9,5.7
6.2,8.7,5.7,6.2
8.7,8.1,6.2,6.3
8.1,4.5,6.3,5.3
4.5,3.5,5.3,4.8
3.5,3.1,4.8,4.5
3.1,2.4,4.5,4
2.4,2.3,4,3.8
2.3,2.1,3.8,3.6
2.1,1.8,3.6,3.3
1.8,1.9,3.3,3.2
1.9,1.6,3.2,3.1
1.6,1.4,3.1,2.9
1.4,1.3,2.9,2.8
1.3,1.2,2.8,2.8
1.2,1.1,2.8,2.7
1.1,1.1,2.7,2.7
1.1,1.2,2.7,3
1.2,1.2,3,2.8
1.2,1.1,2.8,2.6
1.1,1,2.6,2.5
1,0.9,2.5,2.4
0.9,0.9,2.4,2.4
0.9,0.9,2.4,2.3
0.9,0.8,2.3,2.2
0.8,0.9,2.2,2.1
0.9,0.9,2.1,2.1
0.9,0.8,2.1,2.1
0.8,0.9,2.1,2.3
0.9,1,2.3,2.3
1,1,2.3,2.3
1,0.9,2.3,2.3
0.9,0.8,2.3,2.2
0.8,0.7,2.2,2.1
0.7,0.7,2.1,2.1
0.7,0.7,2.1,2.1
0.7,0.7,2.1,2
0.7,0.8,2,2.1
0.8,0.8,2.1,2.1
0.8,1.1,2.1,2.3
1.1,1.5,2.3,2.6
1.5,1.1,2.6,2.4
1.1,1,2.4,2.6
1,1.1,2.6,2.5
1.1,1,2.5,2.5
1,1.2,2.5,2.4
1.2,1.6,2.4,2.4
1.6,2.1,2.4,2.4
2.1,30.9,2.4,5.8
30.9,10.6,5.8,5
10.6,3,5,3.9
3,1.9,3.9,3.4
1.9,1.4,3.4,3
1.4,1.1,3,2.8
1.1,1.1,2.8,2.9
1.1,1.4,2.9,3.1
1.4,1.6,3.1,3.3
1.6,1.6,3.3,3.6
1.6,2.4,3.6,3.4
2.4,2.8,3.4,3
2.8,3.2,3,2.8
3.2,2.8,2.8,2.9
2.8,2.1,2.9,2.8
2.1,1.3,2.8,2.9
1.3,1.3,2.9,2.9
1.3,1.9,2.9,2.7
1.9,2.6,2.7,2.5
2.6,3.2,2.5,2.4
3.2,3.3,2.4,2.3
3.3,3.3,2.3,2.3
3.3,3.4,2.3,2.3
3.4,3.5,2.3,2.2
3.5,2.8,2.2,2.2
2.8,2.8,2.2,2.3
2.8,2.4,2.3,2.2
2.4,3.8,2.2,3
3.8,120.7,3,9.3
120.7,186.2,9.3,12.5
186.2,30.6,12.5,8.7
30.6,18.5,8.7,7.3
18.5,11,7.3,6.8
11,8.9,6.8,6.1
8.9,5.4,6.1,5.2
5.4,4.3,5.2,4.5
4.3,3.9,4.5,4.1
3.9,3.8,4.1,4
3.8,4.3,4,4.1
4.3,4.5,4.1,4
4.5,4.2,4,3.5
4.2,3.9,3.5,3.2
3.9,4.1,3.2,3.1
4.1,3.9,3.1,2.8
3.9,4,2.8,2.8
4,2.7,2.8,2.8
2.7,3,2.8,2.7
3,2.9,2.7,2.6
2.9,2.3,2.6,2.5
2.3,2.2,2.5,2.3
2.2,2.4,2.3,2.2
2.4,2.3,2.2,2
2.3,2.4,2,2.2
2.4,2.3,2.2,2.1
2.3,2.2,2.1,2
2.2,2.1,2,2
2.1,2.2,2,2
2.2,8.6,2,4.3
8.6,4.7,4.3,3.2
4.7,2.3,3.2,2.4
2.3,2.3,2.4,2.8
2.3,2.1,2.8,2.5
2.1,1.8,2.5,2.2
1.8,2.8,2.2,3.5
2.8,1.9,3.5,2.6
1.9,2,2.6,2.4
2,1.7,2.4,2.1
1.7,1.7,2.1,2
1.7,1.8,2,2
1.8,1.9,2,1.8
1.9,1.9,1.8,1.7
1.9,2,1.7,1.7
2,6.3,1.7,2.3
6.3,2.4,2.3,1.7
2.4,2.2,1.7,1.6
2.2,2.1,1.6,1.5
2.1,2.1,1.5,1.5
2.1,2.1,1.5,1.5
2.1,2.1,1.5,1.4
2.1,2.1,1.4,1.4
2.1,2.1,1.4,1.4
2.1,2,1.4,1.4
2,2,1.4,1.4
2,2,1.4,1.3
2,2.4,1.3,1.5
2.4,3,1.5,1.7
3,2,1.7,1.4
2,1.6,1.4,1.3
1.6,1.5,1.3,1.3
1.5,1.7,1.3,1.5
1.7,1.5,1.5,1.3
1.5,1.5,1.3,1.3
1.5,1.7,1.3,1.3
1.7,1.6,1.3,1.2
1.6,1.5,1.2,1.1
1.5,1.6,1.1,1.1
1.6,1.5,1.1,1
1.5,14.3,1,2.8
14.3,5.4,2.8,1.9
5.4,8,1.9,3.6
8,2.6,3.6,2
2.6,2,2,1.6
2,1.9,1.6,1.5
1.9,2,1.5,1.3
2,2,1.3,1.3
2,1.9,1.3,1.2
1.9,1.8,1.2,1.2
1.8,1.7,1.2,1.1
1.7,2,1.1,1.3
2,1.9,1.3,1.3
1.9,1.9,1.3,1.3
1.9,1.8,1.3,1.2
1.8,2.4,1.2,1.7
2.4,8.8,1.7,3.5
8.8,4.2,3.5,2.5
4.2,2.4,2.5,1.7
2.4,1.9,1.7,1.4
1.9,1.8,1.4,1.3
1.8,2.3,1.3,1.3
2.3,2.8,1.3,1.3
2.8,1.9,1.3,1.1
1.9,1.6,1.1,1.1
1.6,1.4,1.1,1
1.4,1.4,1,1
1.4,1.3,1,1
1.3,1.3,1,0.9
1.3,1.6,0.9,1.2
1.6,1.3,1.2,1
1.3,1.8,1,1.3
1.8,1.3,1.3,0.9
1.3,1.3,0.9,0.9
1.3,1.2,0.9,0.9
1.2,1.2,0.9,0.9
1.2,1.3,0.9,0.9
1.3,1.6,0.9,1.1
1.6,1.8,1.1,1.2
1.8,1.4,1.2,0.9
1.4,1.2,0.9,0.9
1.2,1.4,0.9,0.9
1.4,1.4,0.9,0.8
1.4,1.5,0.8,0.8
1.5,1.5,0.8,0.8
1.5,2,0.8,1
2,6.7,1,2.2
6.7,1.4,2.2,1
1.4,1.6,1,1.1
1.6,1.2,1.1,0.9
1.2,1.3,0.9,1
1.3,1.5,1,1.1
1.5,1.1,1.1,0.9
1.1,0.9,0.9,0.9
0.9,0.8,0.9,0.8
0.8,0.8,0.8,0.8
0.8,0.7,0.8,0.8
0.7,0.6,0.8,0.7
0.6,0.5,0.7,0.7
0.5,0.4,0.7,0.6
0.4,0.4,0.6,0.6
0.4,0.3,0.6,0.6
0.3,0.3,0.6,0.6
0.3,0.4,0.6,0.5
0.4,0.4,0.5,0.5
0.4,0.4,0.5,0.6
0.4,0.3,0.6,0.5
0.3,0.3,0.5,0.5
0.3,0.4,0.5,0.6
0.4,1,0.6,0.9
1,5.3,0.9,7.6
5.3,2.6,7.6,3.4
2.6,1.9,3.4,2.4
1.9,1.1,2.4,1.5
1.1,0.9,1.5,1.3
0.9,0.9,1.3,1.2
0.9,0.8,1.2,1.1
0.8,0.7,1.1,0.9
0.7,0.7,0.9,1
0.7,1.4,1,1.9
1.4,0.8,1.9,1.1
0.8,0.7,1.1,0.9
0.7,0.7,0.9,0.9
0.7,0.7,0.9,0.9
0.7,0.7,0.9,0.8
0.7,0.7,0.8,0.8
0.7,0.7,0.8,0.9
0.7,0.9,0.9,1.2
0.9,0.7,1.2,0.9
0.7,0.8,0.9,1
0.8,0.5,1,0.8
0.5,0.9,0.8,1.2
0.9,0.7,1.2,1
0.7,0.8,1,1.1
0.8,0.6,1.1,0.9
0.6,0.5,0.9,0.9
0.5,0.5,0.9,0.9
0.5,0.4,0.9,0.8
0.4,0.5,0.8,0.8
0.5,0.5,0.8,0.8
0.5,1.6,0.8,1.4
1.6,0.8,1.4,0.9
0.8,0.6,0.9,0.9
0.6,0.7,0.9,1
0.7,0.7,1,1
0.7,1.5,1,1.2
1.5,1,1.2,0.9
1,1.1,0.9,0.9
1.1,1.5,0.9,1
1.5,0.7,1,0.9
0.7,0.6,0.9,0.9
0.6,0.7,0.9,0.9
0.7,0.6,0.9,0.8
0.6,0.5,0.8,0.8
0.5,0.6,0.8,0.8
0.6,0.7,0.8,0.8
0.7,0.5,0.8,0.8
0.5,0.5,0.8,0.9
0.5,0.6,0.9,0.9
0.6,0.4,0.9,0.8
0.4,0.4,0.8,0.8
0.4,0.5,0.8,0.8
0.5,0.9,0.8,1.2
0.9,0.9,1.2,1.2
0.9,1.9,1.2,1.5
1.9,2.2,1.5,1.3
2.2,0.6,1.3,0.9
0.6,0.3,0.9,0.8
0.3,0.3,0.8,0.9
0.3,1.4,0.9,1.6
1.4,5.5,1.6,2.5
